,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
1731730420用户数据,0.614247929,0.53342384,0.508235339,0.603689301,0.6259621,0.600855739,0.630546815,0.618873743,0.64796691,0.706510325,0.630228877,0.621296788,0.603271877,0.594972912,0.588772089,0.614247929,0.647292531,0.594578276,0.573473856,0.614247929
1733610403用户数据,0.641814013,0.63416809,0.612789817,0.619975024,0.609625327,0.625701857,0.653566047,0.678750133,0.642862649,0.635705133,0.611258756,0.609225518,0.656743057,0.591307359,0.555279471,0.605058901,0.58309935,0.562517169,0.633239079,0.602911258
1734089342用户数据,0.628174695,0.625087784,0.614437162,0.611387449,0.597253458,0.605642307,0.569104981,0.634379263,0.611191411,0.547296796,0.629266714,0.627566487,0.622053064,0.588939992,0.607724569,0.599452968,0.608660784,0.604004662,0.622753312,0.619328715
1734261052用户数据,0.60551526,0.617842631,0.603215551,0.674697803,0.544658559,0.621600774,0.615038997,0.616612714,0.637318124,0.79177214,0.560727387,0.59321262,0.574021219,0.614247929,0.590689575,0.580320829,0.616662327,0.617670892,0.607762038,0.612743003
1735380822用户数据,0.536076163,0.614247929,0.629073304,0.614247929,0.594071424,0.654723125,0.622784571,0.633645481,0.600131737,0.621888792,0.661896591,0.641085624,0.56606708,0.601531317,0.641166021,0.678021577,0.667622973,0.587634472,0.634077924,0.573049342
1735782032用户数据,0.73879356,0.678798005,0.635800507,0.61393021,0.642686553,0.682176647,0.667401832,0.628436767,0.682992408,0.628228051,0.686036693,0.634074781,0.663682318,0.668867105,0.689106785,0.66821189,0.632369577,0.614247929,0.631194028,0.614247929
1736418734用户数据,0.614247929,0.602202717,0.613886115,0.700073414,0.613368062,0.660552867,0.620486359,0.605638182,0.612830644,0.620761498,0.615161297,0.623029353,0.574728197,0.612619023,0.636900272,0.609483158,0.602965255,0.593417296,0.615719732,0.712472417
1736841645用户数据,0.699708106,0.614247929,0.611028366,0.656612803,0.620917551,0.653508523,0.64414076,0.649933048,0.61421519,0.696443712,0.668450235,0.614247929,0.620681857,0.621512185,0.616441385,0.639183712,0.643739913,0.665983101,0.635694355,0.638682422
1737411693用户数据,0.66223129,0.612988654,0.645388821,0.666104211,0.620116294,0.690290732,0.712338715,0.650165974,0.614247929,0.8344043,0.624956244,0.608909091,0.646924358,0.640687433,0.654443892,0.614247929,0.614247929,0.614247929,0.898132225,0.624614087
1738298494用户数据,0.630691223,0.600302855,0.616553767,0.614912698,0.572299031,0.554702709,0.596425424,0.586421889,0.62135833,0.618148669,0.635335591,0.574197412,0.616895865,0.628696525,0.633573544,0.617117744,0.607689044,0.584160886,0.596472971,0.61319737
1740322467用户数据,0.629569662,0.644770745,0.591386473,0.589706908,0.604267635,0.607372742,0.621550929,0.612427642,0.615385414,0.558576915,0.579396176,0.61093639,0.567841558,0.582092447,0.598305551,0.591523393,0.589067176,0.605156527,0.603459831,0.597234248
1740531427用户数据,0.625536243,0.629109832,0.627834011,0.615664092,0.578410568,0.59848045,0.54799006,0.617574554,0.604229298,0.632644111,0.693613431,0.59404631,0.603768972,0.626244077,0.626089218,0.629132885,0.614247929,0.655165546,0.591862362,0.648782991
1743532561用户数据,0.620241204,0.599423758,0.604893915,0.602698164,0.610500561,0.594018575,0.596325856,0.602504438,0.604231597,0.60829675,0.60272304,0.620090644,0.586093427,0.589273745,0.61230205,0.624404151,0.584136965,0.601691449,0.625744905,0.593042786
1743590140用户数据,0.583120287,0.627872955,0.6200388,0.563613163,0.595335117,0.601452988,0.534802498,0.55332774,0.587264737,0.600273072,0.533074095,0.563001377,0.509891081,0.545546462,0.550866679,0.531746259,0.598990192,0.358738206,0.614247929,0.573875136
1744965150用户数据,0.674616964,0.658082335,0.659540202,0.673395217,0.612950941,0.69687588,0.657641819,0.626150894,0.604086476,0.584879634,0.600084543,0.632174063,0.613494298,0.633243179,0.614247929,0.519238065,0.613248099,0.629325102,0.666727844,0.633443595
1744985915用户数据,0.585975493,0.620474311,0.612437948,0.620503305,0.58124503,0.60420866,0.603375633,0.603218564,0.606298273,0.609277659,0.59271822,0.61567011,0.616270845,0.620368333,0.462991245,0.635360984,0.589471453,0.614247929,0.601992138,0.606471769
1745104984用户数据,0.69167874,0.729575924,0.618843592,0.692577803,0.578440073,0.626335726,0.597519564,0.58252984,0.602892789,0.638671529,0.60572039,0.593214817,0.60460278,0.625947817,0.570866673,0.642482355,0.558658565,0.643326522,0.581657075,0.631204709
1745439703用户数据,0.627115785,0.614247929,0.595996147,0.718048477,0.656838522,0.671554282,0.614700421,0.650897724,0.669866605,0.655194468,0.61982263,0.634854574,0.581040085,0.572105925,0.702199589,0.653236682,0.601776913,0.683389997,0.630335876,0.71144256
1747795142用户数据,0.63336827,0.64740859,0.63651286,0.685068633,0.66473572,0.646902997,0.626196093,0.692429546,0.618012869,0.642011828,0.706814261,0.648648964,0.653038066,0.636983829,0.603797004,0.65888882,0.576131424,0.605751085,0.574765016,0.593327052
1750663527用户数据,0.661810742,0.627475885,0.602124122,0.602798648,0.627523094,0.641767803,0.687022203,0.610250292,0.622223805,0.596318004,0.672321037,0.695939703,0.625966168,0.616569004,0.698294553,0.632573885,0.604510517,0.640631328,0.596494299,0.621968642
1750845730用户数据,0.604776554,0.605784685,0.620238304,0.621348107,0.614805377,0.620398261,0.619588452,0.583629791,0.625057491,0.638781274,0.530902409,0.629155625,0.614247929,0.684895816,0.614247929,0.575024785,0.614247929,0.620587342,0.559659678,0.606151052
1751223330用户数据,0.596692446,0.623049061,0.64512039,0.626196825,0.599754243,0.623392929,0.608371679,0.612656452,0.632946878,0.627181998,0.628629218,0.601814579,0.605909479,0.640467288,0.592615128,0.621762195,0.61910066,0.595703913,0.576646435,0.585684341
1752112017用户数据,0.636801115,0.594270856,0.645097998,0.60955175,0.600290817,0.628122253,0.648614166,0.682220988,0.603312928,0.566767161,0.642766997,0.603632335,0.691755699,0.596469588,0.585936272,0.623475663,0.66078828,0.617902837,0.569086187,0.58982235
1752234061用户数据,0.60256269,0.605219446,0.622021003,0.619835838,0.656354986,0.631052996,0.590370956,0.612892736,0.654225577,0.591265408,0.628219044,0.602455847,0.624231993,0.611287528,0.59372167,0.641972307,0.630908841,0.633213521,0.616466196,0.64793308
1752410922用户数据,0.602989965,0.620806732,0.645266679,0.64329743,0.703921856,0.65679256,0.613869696,0.675064428,0.668128025,0.635088935,0.599277265,0.590890582,0.589359006,0.630496333,0.693751645,0.628070772,0.616658763,0.647337496,0.619182499,0.59873925
1752535620用户数据,0.612463761,0.623718822,0.653771992,0.677259077,0.59386896,0.598995792,0.583819568,0.591149681,0.576537507,0.593976734,0.616015705,0.626793965,0.61517973,0.606934873,0.641980093,0.610804039,0.591626583,0.590151509,0.599745978,0.578079721
1752580132用户数据,0.776604777,0.645496033,0.604951411,0.676990844,0.614247929,0.670328073,0.614247929,0.670658865,0.614247929,0.614247929,0.692476771,0.616533227,0.688057846,0.623898821,0.614247929,0.614247929,0.614247929,0.6274058,0.561668028,0.578910399
1757452087用户数据,0.595560964,0.592597797,0.64362193,0.61967384,0.599775981,0.585331367,0.600990993,0.611122653,0.644684705,0.615715218,0.609426678,0.60800799,0.610594034,0.61141079,0.649542088,0.609752627,0.569296791,0.586885703,0.573408624,0.581963525
1758924365用户数据,0.622523485,0.603823757,0.603177839,0.611635132,0.602937091,0.613002132,0.631338025,0.616313784,0.59241115,0.624308803,0.612971253,0.604966674,0.587217883,0.604508075,0.608617056,0.625308662,0.594241016,0.595890168,0.607043933,0.590617705
1760152487用户数据,0.58666083,0.56314905,0.656185382,0.603579768,0.59752324,0.635280444,0.627801479,0.687516138,0.60494452,0.653382074,0.621397466,0.61925533,0.636011569,0.608552404,0.610195583,0.654035877,0.621508118,0.621115075,0.597834136,0.605296889
1760349827用户数据,0.623702513,0.615710676,0.684241332,0.626715082,0.594676649,0.54429388,0.573260233,0.616046131,0.461191792,0.625456942,0.611780433,0.615911389,0.58982968,0.58778498,0.5753452,0.609532126,0.629525577,0.56121574,0.568361598,0.600541975
1760585521用户数据,0.661734888,0.609879175,0.609485422,0.662268386,0.589808281,0.596624869,0.601763755,0.606931033,0.588286045,0.598721913,0.596429059,0.609572958,0.610481613,0.607397622,0.575712611,0.591550219,0.631961754,0.622090421,0.583466822,0.62680444
1760766324用户数据,0.582694333,0.619026683,0.592609931,0.612480949,0.588411241,0.601272939,0.591987233,0.630820855,0.598829346,0.594530584,0.593610187,0.603627716,0.598553198,0.61240711,0.603186246,0.596144991,0.620766861,0.607848328,0.605938348,0.604124376
1760899300用户数据,0.610742375,0.608635504,0.599682327,0.60551448,0.628739101,0.608720856,0.593502834,0.612331197,0.592652188,0.595736598,0.609398053,0.586879955,0.604007595,0.615076636,0.595535613,0.59179057,0.621301911,0.608477783,0.623743281,0.591490787
1761123585用户数据,0.594887153,0.624079261,0.575179411,0.657659409,0.626392542,0.625375608,0.646620699,0.64549414,0.609264814,0.605271649,0.629885623,0.605702187,0.626163421,0.609737724,0.63087069,0.633896075,0.616823141,0.612830987,0.61294767,0.626194509
1761782641用户数据,0.597235399,0.605301559,0.595747303,0.569919919,0.601092615,0.590276662,0.608276158,0.595077429,0.60087588,0.616471449,0.557415505,0.593737301,0.581950507,0.578566888,0.582402686,0.596543019,0.532311021,0.612517648,0.598869562,0.613785815
1761842431用户数据,0.494743709,0.562291059,0.55667495,0.608381088,0.601585822,0.534892902,0.553474445,0.599754692,0.574980746,0.577981199,0.603544338,0.521401864,0.534994042,0.580727501,0.614247929,0.614247929,0.684540281,0.593662535,0.442357879,0.460627557
1762505730用户数据,0.614247929,0.668519927,0.614247929,0.614247929,0.664315507,0.614247929,0.614247929,0.6569001,0.71538906,0.626340494,0.59950822,0.614247929,0.61023329,0.717114929,0.614247929,0.550671393,0.620613841,0.650138645,0.632951541,0.665269795
1763438310用户数据,0.618270051,0.598255185,0.592765921,0.610239893,0.60780646,0.638358298,0.600958446,0.608716012,0.60366943,0.590474219,0.61028174,0.61176621,0.601630607,0.586769758,0.631651622,0.620100326,0.572104646,0.582859832,0.5610879,0.579069808
1763483995用户数据,0.618533272,0.625534065,0.484357518,0.614247929,0.598214064,0.609988959,0.617074639,0.612296346,0.628346571,0.605434492,0.616755855,0.604765567,0.618500989,0.639256389,0.648951306,0.630507546,0.653857618,0.635418919,0.730115481,0.621927734
1763587221用户数据,0.618187068,0.558634255,0.626548293,0.5981954,0.592759328,0.657278464,0.573778131,0.615584748,0.601901646,0.640718913,0.572060872,0.610956804,0.614247929,0.627988075,0.621510172,0.619854495,0.606148916,0.613857187,0.610823784,0.608394787
1763913673用户数据,0.59912542,0.629003944,0.586297744,0.595148755,0.608036225,0.608012777,0.611428742,0.617031452,0.600462395,0.594644883,0.545259402,0.613935082,0.593097205,0.608750115,0.602225571,0.614247929,0.662344558,0.614247929,0.575704944,0.614247929
1764098854用户数据,0.605931636,0.606481605,0.588984188,0.624583366,0.621480339,0.604984385,0.591903908,0.614257651,0.614551741,0.608488498,0.595043013,0.623601305,0.607964537,0.627694005,0.617464893,0.626397876,0.591473348,0.62040226,0.61253312,0.610126192
1764663867用户数据,0.610074334,0.63110201,0.577749986,0.604967155,0.608590416,0.646849066,0.65431387,0.67685095,0.619828335,0.616472079,0.625056011,0.632542411,0.640065733,0.616582224,0.593483586,0.580104304,0.589896616,0.588773558,0.603792401,0.607511417
1765895012用户数据,0.63806122,0.591725432,0.586985558,0.631886572,0.588998131,0.553379969,0.572071929,0.583078854,0.557249045,0.576386289,0.648614166,0.614247929,0.580606221,0.500988254,0.583942697,0.553247149,0.599551182,0.682590445,0.61272345,0.620936381
1765952457用户数据,0.65737449,0.628249098,0.608017446,0.601451054,0.588234612,0.603466799,0.58711172,0.605658937,0.596087917,0.612894883,0.6034452,0.599084937,0.584712362,0.602251624,0.600644686,0.586282523,0.606431611,0.608477138,0.61316131,0.5749494
1767087817用户数据,0.666589397,0.716761702,0.668394275,0.620474311,0.673521837,0.614247929,0.614247929,0.614247929,0.614247929,0.614247929,0.567839628,0.535710804,0.380568783,0.502772749,0.539601308,0.610413891,0.595104455,0.587596946,0.637851216,0.660789621
1767387525用户数据,0.527473529,0.584799987,0.657486143,0.68901887,0.616093528,0.592513867,0.619673673,0.663272472,0.653742291,0.612635272,0.779470938,0.622971507,0.615802496,0.61799401,0.6034649,0.603686205,0.599347063,0.561139032,0.622600291,0.611332186
1767450421用户数据,0.614247929,0.614247929,0.564348719,0.617263833,0.608959393,0.611653553,0.568288546,0.679041266,0.600484309,0.610534221,0.581075418,0.574935279,0.589803591,0.591677791,0.593800121,0.615691652,0.599502569,0.612654193,0.623998176,0.620067838
1768235594用户数据,0.522375191,0.588492679,0.614814374,0.634762558,0.669692844,0.605077875,0.643668855,0.608409973,0.543692046,0.560198313,0.560370804,0.508082606,0.568367503,0.622388277,0.557548601,0.62019637,0.617687398,0.560300397,0.555208206,0.553463379
1768320332用户数据,0.598285624,0.593173667,0.632367239,0.624665682,0.676695873,0.637441334,0.603548531,0.64985756,0.669167079,0.656898703,0.603766558,0.616775763,0.619233989,0.621957018,0.599438665,0.57940656,0.619420503,0.560921364,0.587007992,0.667068831
1768974614用户数据,0.642443366,0.640574516,0.733441211,0.629836801,0.58763923,0.579193034,0.563234819,0.445081636,0.751478291,0.587511376,0.564717007,0.544723545,0.597463385,0.575623609,0.606056497,0.615008867,0.595224987,0.592106656,0.557385257,0.546436934
1769631890用户数据,0.643658218,0.610796748,0.619517204,0.651455142,0.599213305,0.626823076,0.598267333,0.630280961,0.623255318,0.633875898,0.607740624,0.613592041,0.599144451,0.602261186,0.643107671,0.643716968,0.654738842,0.643971895,0.592573975,0.640064024
1770538825用户数据,0.614247929,0.62651546,0.614247929,0.580043099,0.571697319,0.658563422,0.637723941,0.617456715,0.645411307,0.618041674,0.64557568,0.598702219,0.639182965,0.622970592,0.634264094,0.631408277,0.679135808,0.61839885,0.570852567,0.638782992
1770674365用户数据,0.633299871,0.582305829,0.607908769,0.584043342,0.621926263,0.605659793,0.731102645,0.636618109,0.585093449,0.622126208,0.606511203,0.654991725,0.644844782,0.596273638,0.581761086,0.616515264,0.601184366,0.584309728,0.672920999,0.607481314
1770701771用户数据,0.708203905,0.614247929,0.649935294,0.610471554,0.660269289,0.494132327,0.590479755,0.633397246,0.64243748,0.792728937,0.631146477,0.596217985,0.555340635,0.637590746,0.614247929,0.530204865,0.569282847,0.711437934,0.618443969,0.614247929
1772213215用户数据,0.608905744,0.620211306,0.652068263,0.688821609,0.627997743,0.630747519,0.638773754,0.655795307,0.616591937,0.617403183,0.632811102,0.613669571,0.627313735,0.627578387,0.651832847,0.629102947,0.631895298,0.638284229,0.578445157,0.614827957
1772299047用户数据,0.524666164,0.660670121,0.618154823,0.627834801,0.610466225,0.621546005,0.599560515,0.589920371,0.604379029,0.613646118,0.593451271,0.611727065,0.600085308,0.625423247,0.621123994,0.612623157,0.600269755,0.577025909,0.657265457,0.607240701
1772387722用户数据,0.624971445,0.581089754,0.601436249,0.623509518,0.606354721,0.601052991,0.502645892,0.607683875,0.576750025,0.550387491,0.608513746,0.602489529,0.500794943,0.604845231,0.594353546,0.593430561,0.597302214,0.60837125,0.582984705,0.605574162
1772405353用户数据,0.587844682,0.626197496,0.666969298,0.583816583,0.616916103,0.69373936,0.643016748,0.671050103,0.782311659,0.647797891,0.59595848,0.591227407,0.633073801,0.542104912,0.576698595,0.597104963,0.620817609,0.632702607,0.611697306,0.565412132
1772803707用户数据,0.589780245,0.595323962,0.573741816,0.582189191,0.589511542,0.595929816,0.582678694,0.589817666,0.590974462,0.583021526,0.595226249,0.593744989,0.589293983,0.538272121,0.562339784,0.637698344,0.559455075,0.614756232,0.563728751,0.529589466
1773090423用户数据,0.685847278,0.613079921,0.566013566,0.629836793,0.646043886,0.581914445,0.602126829,0.613314333,0.601530818,0.713681129,0.569248957,0.617253216,0.56650397,0.652600512,0.607751309,0.637456333,0.629115491,0.583466584,0.637567297,0.58635371
1773138907用户数据,0.643942981,0.613687669,0.604003134,0.850280798,0.604029379,0.494583976,0.618215789,0.610649718,0.639574446,0.614247929,0.660431577,0.620900785,0.614247929,0.596649923,0.569682602,0.608342851,0.651798613,0.572632172,0.633437805,0.716992658
1773436671用户数据,0.614247929,0.61795981,0.582978661,0.619197104,0.614247929,0.609393643,0.69289652,0.578910399,0.604462289,0.625056796,0.614247929,0.607586412,0.631795005,0.36960075,0.614247929,0.366650629,0.496351906,0.624914574,0.582621915,0.614247929
1773698153用户数据,0.617935973,0.6310931,0.685771652,0.600936851,0.595909809,0.670328073,0.614247929,0.614247929,0.614247929,0.67779524,0.614247929,0.667910408,0.63055026,0.819737388,0.592099262,0.639793866,0.617147433,0.603810355,0.609207067,0.615744191
1773744325用户数据,0.671071179,0.642230999,0.620812765,0.574362798,0.591120402,0.606220855,0.572915897,0.624099758,0.603188358,0.598618214,0.577973147,0.575633688,0.610754929,0.548913723,0.387373864,0.534486021,0.580050319,0.288034333,0.439222337,0.291293035
1774460975用户数据,0.621684382,0.62260077,0.639118759,0.63566292,0.67076401,0.660146506,0.661253005,0.660443798,0.600182391,0.514721493,0.60436283,0.614836904,0.619121566,0.628337871,0.610206011,0.592943142,0.651013928,0.624755273,0.674227891,0.625206791
1775324905用户数据,0.619277969,0.565745329,0.592288422,0.619122036,0.628724137,0.641737205,0.603566244,0.647341467,0.601769262,0.635971772,0.619464627,0.57815663,0.668779128,0.667741772,0.62691457,0.640660637,0.590812576,0.650280394,0.745101599,0.611631638
1775779715用户数据,0.581956908,0.62045313,0.618530433,0.605099762,0.596347356,0.615676331,0.632619626,0.601523878,0.61205729,0.594486365,0.620268032,0.585820456,0.602095885,0.613996868,0.584953748,0.578812376,0.584567725,0.60837494,0.592854822,0.59534053
1776096345用户数据,0.635451555,0.617709133,0.612472748,0.627573107,0.622409309,0.599667961,0.629708579,0.637661841,0.603957271,0.634569358,0.586040149,0.626662169,0.639303902,0.618755211,0.550627457,0.599026287,0.552838133,0.57578687,0.577811662,0.614898308
1776172873用户数据,0.616478728,0.647184917,0.624982183,0.625079013,0.651562334,0.680764745,0.663377829,0.657577123,0.619821749,0.68529136,0.648019742,0.631919963,0.681257354,0.636114372,0.669822047,0.693375693,0.688502924,0.692367686,0.707478642,0.702176713
1778742467用户数据,0.603908739,0.601305142,0.585228445,0.639726251,0.616766602,0.607700269,0.601934341,0.619764645,0.597567912,0.60377798,0.582039268,0.604782519,0.614247929,0.611835614,0.596884048,0.607157623,0.64003587,0.609141185,0.614247929,0.617632075
1778928857用户数据,0.684454487,0.574774372,0.52306954,0.651798613,0.628478512,0.588834567,0.578741068,0.572976923,0.604205038,0.617708973,0.561587818,0.598497413,0.606398822,0.598185415,0.645321295,0.609424381,0.571079865,0.585257622,0.600300663,0.616361605
1779350823用户数据,0.674764476,0.582127363,0.590789641,0.607602619,0.617716235,0.61246445,0.611410955,0.630882396,0.58364621,0.632295474,0.677392243,0.627118782,0.633063303,0.631805167,0.629315689,0.614247929,0.65692634,0.670702808,0.638026358,0.625306204
1779935660用户数据,0.602999944,0.600391526,0.625837651,0.603642033,0.617553723,0.628465391,0.616256844,0.613808366,0.624771855,0.595121651,0.607482567,0.620939464,0.62719209,0.632538802,0.639915135,0.571426068,0.522688473,0.594869253,0.584512246,0.529158069
1780294970用户数据,0.643752038,0.6334238,0.613304345,0.614416256,0.585377274,0.567309468,0.6187898,0.575331595,0.600775373,0.642122612,0.611270486,0.620474763,0.642242525,0.618370971,0.644602451,0.629742763,0.623454603,0.656085385,0.635127705,0.619709985
1781393263用户数据,0.61606508,0.593379062,0.59726551,0.603321125,0.598827381,0.609216202,0.596959629,0.621649231,0.631268769,0.629810546,0.625846921,0.623788078,0.604350554,0.58522499,0.571044653,0.606685832,0.628421078,0.593780648,0.61468365,0.598166184
1781493481用户数据,0.591710238,0.592886844,0.607364935,0.607915434,0.602732688,0.592568233,0.589931277,0.587321414,0.589218965,0.609476424,0.604572465,0.615101605,0.628184981,0.608160687,0.59581181,0.599077843,0.617908896,0.631871623,0.617066078,0.609325115
1781595614用户数据,0.621306378,0.632276556,0.527953778,0.641708113,0.666859838,0.594632139,0.70203888,0.658320559,0.583946912,0.614247929,0.660503079,0.665335561,0.561308647,0.592018763,0.579002627,0.649793469,0.574914863,0.650964153,0.614247929,0.627373704
1781946460用户数据,0.630898851,0.633339904,0.571222853,0.620625229,0.607832111,0.598820195,0.621702479,0.616746661,0.638424562,0.648827689,0.623384712,0.584740435,0.614527431,0.571762963,0.551120078,0.618480125,0.586651699,0.574532945,0.616492322,0.62601244
1781947635用户数据,0.523425759,0.499525034,0.612671014,0.538467363,0.589605525,0.556015012,0.550310381,0.608031315,0.591203645,0.557258797,0.560511145,0.562634844,0.535556302,0.551992306,0.529117192,0.563776275,0.575475592,0.498914671,0.584909879,0.501819972
1782333753用户数据,0.595658281,0.553365818,0.636152221,0.604583961,1.15790336,0.631751787,0.625909659,0.617822161,0.619660355,0.600257099,0.621834332,0.619224349,0.628544316,0.635400285,0.648595475,0.589334149,0.626758462,0.580092185,0.612140949,0.613574703
1782654047用户数据,0.568129066,0.613141203,0.651313789,0.6009754,0.655531782,0.584719331,0.619632081,0.639706762,0.631723049,0.593860892,0.644338696,0.632206952,0.63618524,0.613545657,0.640379541,0.58703581,0.655032096,0.615726979,0.586899349,0.656567294
1783724702用户数据,0.662875694,0.656160322,0.628560408,0.614247929,0.614247929,0.603554198,0.611061299,0.55228183,0.584893984,0.616056095,0.61620979,0.738981695,0.584313316,0.618023426,0.559060297,0.637325577,0.62359462,0.590169755,0.593824129,0.625709564
1785439714用户数据,0.666590555,0.74169288,0.666251879,0.687636363,0.654288296,0.635608403,0.737866903,0.67233895,0.615822544,0.744935043,0.665083735,0.574251204,0.633506352,0.462834776,0.642296381,0.625725156,0.647551898,0.689143238,0.572256717,0.59117663
1786118680用户数据,0.737264457,0.610522621,0.58899179,0.707634669,0.613031227,0.64358565,0.688366716,0.607749365,0.54722162,0.653537837,0.632801266,0.581737124,0.596021251,0.626582925,0.540660975,0.602537465,0.543835334,0.819275476,0.535710804,0.595317109
1786809512用户数据,0.614247929,0.594518954,0.624409232,0.655714174,0.574839083,0.614247929,0.643788012,0.614247929,0.605654058,0.581051804,0.680318629,0.558451829,0.61556596,0.59765887,0.600033377,0.643919678,0.629789497,0.604889337,0.618588274,0.562234323
1786915521用户数据,0.689056976,0.640491085,0.648175022,0.625511409,0.642080473,0.624801931,0.641015088,0.647704748,0.597947567,0.62515949,0.638444915,0.652142437,0.621760649,0.616193462,0.615296469,0.591868663,0.641697066,0.60748171,0.605178907,0.61892066
1788511315用户数据,0.57824408,0.572465006,0.595384983,0.623036387,0.560499281,0.600725237,0.611413408,0.597566429,0.674549274,0.592424843,0.6511394,0.614247929,0.586195439,0.626798285,0.530652333,0.6172754,0.622479793,0.574645936,0.584223327,0.591711694
1788776433用户数据,0.618186416,0.662429454,0.611362854,0.602275676,0.654505926,0.64796691,0.634196919,0.597420534,0.636132872,0.657991847,0.614962096,0.651856191,0.667125822,0.636828204,0.671594138,0.624183404,0.629492339,0.636174771,0.595728345,0.659503842
1790287603用户数据,0.647489478,0.612203659,0.549499213,0.584718066,0.631734067,0.610307634,0.623724491,0.48982933,0.581700491,0.642236213,0.658162601,0.002982607,0.616518727,0.570171061,0.55720272,0.592612706,0.55578739,0.585217181,0.623875283,0.586323132
1790354607用户数据,0.580969088,0.594836524,0.56751436,0.625336851,0.603505343,0.606408501,0.616709315,0.575512739,0.543256447,0.56549189,0.613402712,0.592518106,0.608476406,0.591157936,0.598671321,0.599382092,0.586894898,0.59580596,0.589627658,0.597336034
1792495435用户数据,0.646476671,0.625005077,0.630383176,0.645440679,0.624663752,0.700278613,0.719488452,0.564662967,0.625987601,0.628668565,0.611609529,0.645861324,0.625377068,0.605306679,0.622911088,0.594853098,0.636030118,0.634410178,0.603644764,0.578525144
1793198023用户数据,0.631428599,0.711437934,0.612224499,0.608319974,0.550214355,0.607208054,0.582109812,0.610166942,0.576765469,0.59182109,0.588413794,0.570208531,0.598866185,0.635473806,0.620765075,0.581421495,0.633622249,0.622239546,0.612745052,0.598120257
1793465655用户数据,0.665447988,0.631600615,0.653445347,0.905817944,0.599736827,0.614247929,0.655394729,0.568870924,0.589638299,0.675441636,0.614247929,0.614247929,0.614247929,0.614247929,0.580045146,0.405449345,0.598176924,0.573663869,0.628136733,0.614247929
1797255445用户数据,0.441711494,0.580074467,0.589705713,0.618666173,0.512592468,0.593978934,0.585643841,0.587290803,0.589372578,0.622358945,0.593555864,0.598089574,0.635217134,0.600094685,0.574160833,0.60499493,0.597809632,0.639281718,0.661200575,0.578180929
1797539233用户数据,0.580717758,0.617820174,0.607823382,0.626867763,0.608188958,0.550939946,0.575759903,0.6067294,0.593234474,0.639661913,0.643277822,0.601757798,0.608530825,0.577726783,0.587953735,0.599992815,0.592884421,0.627859519,0.590017504,0.576209179
1798816911用户数据,0.617127828,0.63706578,0.616930883,0.595183085,0.615627473,0.605733161,0.615480018,0.577239786,0.605633646,0.643893072,0.632955584,0.565427167,0.613172874,0.609928096,0.621686855,0.598599641,0.596711868,0.610576637,0.595700069,0.59118153
1799244587用户数据,0.671185513,0.601074117,0.662973932,0.637336565,0.617384661,0.59906429,0.66598898,0.602274628,0.614454465,0.593921457,0.607564233,0.546292005,0.598468139,0.594175091,0.604226933,0.614247929,0.593973131,0.640651508,0.611166136,0.5459537
1800217443用户数据,0.603568692,0.589006346,0.622283316,0.60031969,0.656978086,0.546741087,0.587385443,0.590779424,0.628004398,0.623452293,0.680484217,0.628804236,0.583793127,0.625242307,0.594475583,0.578882991,0.632677491,0.626496193,0.542888674,0.583137679
1800553991用户数据,0.557564577,0.610281643,0.614247929,0.604815137,0.549904211,0.646585372,0.588103786,0.543572869,0.614247929,0.614247929,0.469410366,0.591404229,0.60375303,0.583355007,0.497634314,0.59325758,0.582132815,0.564695207,0.596205635,0.54799006
1800729235用户数据,0.653095747,0.659504686,0.594270673,0.648431889,0.618083078,0.586700376,0.715222597,0.600768432,0.56944411,0.587756732,0.582746348,0.639299071,0.599879189,0.606172929,0.618410625,0.610309334,0.617387049,0.594843054,0.635484839,0.609741671
1800782934用户数据,0.689034845,0.623854799,0.631895217,0.615728899,0.626951517,0.602166402,0.625835253,0.600105586,0.521375627,0.62017931,0.576277416,0.58675519,0.591044791,0.593619456,0.595368968,0.623744432,0.584134898,0.614247929,0.610350577,0.571928178
1801434127用户数据,0.645050033,0.6893587,0.627923834,0.624386654,0.631821719,0.599921903,0.645475411,0.637313528,0.618905738,0.634230927,0.624449604,0.634304972,0.637028767,0.605295813,0.719007261,0.698122835,0.660379127,0.614247929,0.689349296,0.614247929
1802216043用户数据,0.624837076,0.581128312,0.62458817,0.614247929,0.63171951,0.579963129,0.680715628,0.624927851,0.62597122,0.65951154,0.624886509,0.683090849,0.600315921,0.57378642,0.614247929,0.55607341,0.632551307,0.647797891,0.614247929,0.54531257
1802292431用户数据,0.674954113,0.667920107,0.614606457,0.614247929,0.659004514,0.658182403,0.768018589,0.622461454,0.652690594,0.651757603,0.614247929,0.616392571,0.834989831,0.860280986,0.629504837,0.702037732,0.822566533,0.674650684,0.798479858,0.621968642
1803339855用户数据,0.604846707,0.614247929,0.613622081,0.637526562,0.652278603,0.635612973,0.604526734,0.590760344,0.607526161,0.563900809,0.54389477,0.622697443,0.587880062,0.601027113,0.607741497,0.591692059,0.611379814,0.582122902,0.614247929,0.576870547
