,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
1105304730用户数据,0.614247929,0.645021744,0.614247929,0.705712891,0.615501287,0.627368302,0.571902627,0.605302742,0.648123848,0.61455783,0.597466491,0.663851695,0.643516693,0.682858682,0.599097232,0.614247929,0.620096954,0.732027347,0.874646184,0.614247929
1107326395用户数据,0.634754572,0.621546896,0.516423919,0.601736542,0.589016529,0.598962177,0.605184321,0.621444001,0.55713002,0.642856424,0.558143594,0.614247929,0.618886048,0.603991905,0.606647738,0.591516787,0.614247929,0.614247929,0.607899479,0.61508597
1110885563用户数据,0.632694928,0.674326181,0.658770645,0.638210995,0.637649224,0.643326522,0.623098882,0.635619686,0.598765354,0.692907633,0.702874255,0.674960724,0.62196943,0.624734987,0.536602052,0.572141551,0.60830192,0.646361498,0.649459186,0.625238264
1112390091用户数据,0.575339569,0.587046449,0.567941287,0.602083574,0.593816139,0.593150072,0.599467486,0.630237992,0.598658172,0.579581535,0.591165665,0.60072224,0.577694244,0.594761751,0.624029327,0.611050209,0.580903659,0.601167567,0.591505612,0.588710948
1116824961用户数据,0.608084462,0.612364341,0.626326729,0.58481076,0.588110313,0.595268913,0.574260028,0.5886699,0.582705085,0.584298826,0.577119892,0.592365424,0.582326447,0.565183561,0.579193251,0.555739592,0.613825839,0.612945577,0.583500855,0.5921925
1142154357用户数据,0.553774061,0.723927074,0.669554435,0.654188132,0.64312972,0.640625019,0.648178553,0.64404657,0.636152264,0.616480218,0.636592816,0.624728001,0.638676362,0.634831486,0.588619767,0.597130509,0.567471213,0.580811455,0.658182403,0.609173585
1150586733用户数据,0.597491728,0.624667035,0.614312714,0.599333505,0.575081427,0.559444626,0.597614878,0.545499945,0.601760512,0.633285986,0.613076166,0.597791286,0.599473136,0.611450116,0.60758662,0.599792378,0.643243994,0.619919486,0.612611009,0.558303028
1166217292用户数据,0.6144318,0.572692748,0.599373015,0.597014161,0.613137509,0.618005265,0.604667845,0.602961359,0.600507694,0.600540888,0.625777469,0.651076613,0.585393357,0.630633182,0.589494187,0.617307643,0.552967988,0.548867703,0.627341313,0.591438474
1172406044用户数据,0.618363213,0.595845177,0.615208363,0.609014317,0.610606429,0.602571426,0.605447474,0.620741006,0.60293619,0.577011908,0.622438271,0.639696949,0.630003289,0.585400635,0.620181946,0.609287706,0.590891764,0.649331117,0.614785769,0.616977617
1195048045用户数据,0.640760614,0.617901301,0.623214098,0.62113,0.615466168,0.647968196,1.258409164,0.616186788,0.594938654,0.610092397,0.666003045,0.613154319,0.581866823,0.594780966,0.602464434,0.597813476,0.497990158,0.614247929,0.712477604,0.604723725
